run_id,workflow_name,path,event,status,conclusion,created_at,updated_at,run_started_at,head_branch
28576682693,CI,.github/workflows/ci.yml,push,completed,success,2026-07-02T08:34:15Z,2026-07-02T08:36:22Z,2026-07-02T08:34:15Z,main
28576902792,CI,.github/workflows/ci.yml,pull_request,completed,success,2026-07-02T08:38:08Z,2026-07-02T08:40:11Z,2026-07-02T08:38:08Z,claude/go-q6wmrk
28577014986,CI,.github/workflows/ci.yml,pull_request,completed,success,2026-07-02T08:40:07Z,2026-07-02T08:42:10Z,2026-07-02T08:40:07Z,claude/go-q6wmrk
28577179254,CI,.github/workflows/ci.yml,pull_request,completed,success,2026-07-02T08:43:02Z,2026-07-02T08:44:45Z,2026-07-02T08:43:02Z,claude/go-q6wmrk
28577185007,CI,.github/workflows/ci.yml,pull_request,completed,success,2026-07-02T08:43:08Z,2026-07-02T08:44:48Z,2026-07-02T08:43:08Z,claude/go-q6wmrk
28577300291,CI,.github/workflows/ci.yml,pull_request,completed,success,2026-07-02T08:45:09Z,2026-07-02T08:46:54Z,2026-07-02T08:45:09Z,claude/go-q6wmrk
28577596946,CI,.github/workflows/ci.yml,pull_request,completed,success,2026-07-02T08:50:20Z,2026-07-02T08:52:03Z,2026-07-02T08:50:20Z,claude/go-q6wmrk
28578166503,CI,.github/workflows/ci.yml,pull_request,completed,success,2026-07-02T09:00:19Z,2026-07-02T09:02:07Z,2026-07-02T09:00:19Z,claude/go-q6wmrk
28578518404,CI,.github/workflows/ci.yml,pull_request,completed,success,2026-07-02T09:06:13Z,2026-07-02T09:07:58Z,2026-07-02T09:06:13Z,claude/go-q6wmrk
28579024088,CI,.github/workflows/ci.yml,pull_request,completed,success,2026-07-02T09:14:54Z,2026-07-02T09:16:39Z,2026-07-02T09:14:54Z,claude/go-q6wmrk
28579374873,CI,.github/workflows/ci.yml,pull_request,completed,success,2026-07-02T09:20:59Z,2026-07-02T09:22:48Z,2026-07-02T09:20:59Z,claude/go-q6wmrk
28579695654,CI,.github/workflows/ci.yml,pull_request,completed,success,2026-07-02T09:26:28Z,2026-07-02T09:28:19Z,2026-07-02T09:26:28Z,claude/go-q6wmrk
28580330020,CI,.github/workflows/ci.yml,pull_request,completed,success,2026-07-02T09:37:07Z,2026-07-02T09:39:02Z,2026-07-02T09:37:07Z,claude/go-q6wmrk
28582996144,CI,.github/workflows/ci.yml,pull_request,completed,success,2026-07-02T10:23:44Z,2026-07-02T10:25:33Z,2026-07-02T10:23:44Z,claude/go-q6wmrk
28583636546,CI,.github/workflows/ci.yml,pull_request,completed,success,2026-07-02T10:35:27Z,2026-07-02T10:37:22Z,2026-07-02T10:35:27Z,claude/go-q6wmrk
28583822479,CI,.github/workflows/ci.yml,pull_request,completed,success,2026-07-02T10:38:54Z,2026-07-02T10:40:47Z,2026-07-02T10:38:54Z,claude/go-q6wmrk
28583918902,Deploy (propulse-business-87f7a / strategic360),.github/workflows/deploy.yml,workflow_dispatch,completed,failure,2026-07-02T10:40:42Z,2026-07-02T10:43:32Z,2026-07-02T10:40:42Z,claude/go-q6wmrk
28586982356,Deploy (propulse-business-87f7a / strategic360),.github/workflows/deploy.yml,workflow_dispatch,completed,failure,2026-07-02T11:36:33Z,2026-07-02T11:39:14Z,2026-07-02T11:36:33Z,claude/go-q6wmrk
28587217396,Deploy (propulse-business-87f7a / strategic360),.github/workflows/deploy.yml,workflow_dispatch,completed,success,2026-07-02T11:40:49Z,2026-07-02T11:45:49Z,2026-07-02T11:40:49Z,claude/go-q6wmrk
28587217141,CI,.github/workflows/ci.yml,pull_request,completed,success,2026-07-02T11:40:49Z,2026-07-02T11:42:40Z,2026-07-02T11:40:49Z,claude/go-q6wmrk
28587967298,CI,.github/workflows/ci.yml,pull_request,completed,success,2026-07-02T11:54:11Z,2026-07-02T11:56:02Z,2026-07-02T11:54:11Z,claude/go-q6wmrk
28588102303,Set user role (propulse-business-87f7a / strategic360),.github/workflows/set-user-role.yml,workflow_dispatch,completed,success,2026-07-02T11:56:34Z,2026-07-02T11:58:37Z,2026-07-02T11:56:34Z,claude/go-q6wmrk
28588140972,Set user role (propulse-business-87f7a / strategic360),.github/workflows/set-user-role.yml,workflow_dispatch,completed,success,2026-07-02T11:57:16Z,2026-07-02T11:59:15Z,2026-07-02T11:57:16Z,claude/go-q6wmrk
28590346516,Deploy (propulse-business-87f7a / strategic360),.github/workflows/deploy.yml,workflow_dispatch,completed,failure,2026-07-02T12:34:21Z,2026-07-02T12:37:18Z,2026-07-02T12:34:21Z,claude/go-q6wmrk
28590348435,CI,.github/workflows/ci.yml,pull_request,completed,success,2026-07-02T12:34:22Z,2026-07-02T12:36:16Z,2026-07-02T12:34:22Z,claude/go-q6wmrk
28590573977,CI,.github/workflows/ci.yml,pull_request,completed,success,2026-07-02T12:38:05Z,2026-07-02T12:39:58Z,2026-07-02T12:38:05Z,claude/go-q6wmrk
28590574548,Deploy (propulse-business-87f7a / strategic360),.github/workflows/deploy.yml,workflow_dispatch,completed,success,2026-07-02T12:38:06Z,2026-07-02T12:42:33Z,2026-07-02T12:38:06Z,claude/go-q6wmrk
28591217092,Set user role (propulse-business-87f7a / strategic360),.github/workflows/set-user-role.yml,workflow_dispatch,completed,success,2026-07-02T12:48:29Z,2026-07-02T12:50:27Z,2026-07-02T12:48:29Z,claude/go-q6wmrk
28592125527,CI,.github/workflows/ci.yml,pull_request,completed,success,2026-07-02T13:02:51Z,2026-07-02T13:04:40Z,2026-07-02T13:02:51Z,claude/go-q6wmrk
28592127096,Seed data (propulse-business-87f7a / strategic360),.github/workflows/seed-data.yml,workflow_dispatch,completed,success,2026-07-02T13:02:53Z,2026-07-02T13:05:06Z,2026-07-02T13:02:53Z,claude/go-q6wmrk
28595307494,CI,.github/workflows/ci.yml,pull_request,completed,success,2026-07-02T13:51:30Z,2026-07-02T13:53:41Z,2026-07-02T13:51:30Z,claude/go-q6wmrk
28595309900,Deploy (propulse-business-87f7a / strategic360),.github/workflows/deploy.yml,workflow_dispatch,completed,success,2026-07-02T13:51:32Z,2026-07-02T13:55:52Z,2026-07-02T13:51:32Z,claude/go-q6wmrk
28596261052,Run syncSources now (propulse-business-87f7a / strategic360),.github/workflows/run-sync-now.yml,workflow_dispatch,completed,success,2026-07-02T14:05:21Z,2026-07-02T14:05:41Z,2026-07-02T14:05:21Z,claude/go-q6wmrk
28597456710,Run syncSources now (propulse-business-87f7a / strategic360),.github/workflows/run-sync-now.yml,workflow_dispatch,completed,success,2026-07-02T14:23:07Z,2026-07-02T14:23:52Z,2026-07-02T14:23:07Z,claude/go-q6wmrk
28597458204,CI,.github/workflows/ci.yml,pull_request,completed,success,2026-07-02T14:23:08Z,2026-07-02T14:25:04Z,2026-07-02T14:23:08Z,claude/go-q6wmrk
28598564817,Deploy (propulse-business-87f7a / strategic360),.github/workflows/deploy.yml,workflow_dispatch,completed,success,2026-07-02T14:39:19Z,2026-07-02T14:44:14Z,2026-07-02T14:39:19Z,claude/go-q6wmrk
